Id,quality
2345,6
2346,5
2347,5
2348,5
2349,5
2350,6
2351,5
2352,6
2353,6
2354,6
2355,6
2356,6
2357,6
2358,6
2359,6
2360,5
2361,5
2362,5
2363,5
2364,5
2365,6
2366,5
2367,6
2368,6
2369,6
2370,5
2371,6
2372,6
2373,6
2374,5
2375,4
2376,5
2377,5
2378,6
2379,5
2380,5
2381,5
2382,6
2383,6
2384,6
2385,5
2386,6
2387,6
2388,5
2389,5
2390,5
2391,5
2392,6
2393,5
2394,6
2395,5
2396,6
2397,5
2398,5
2399,6
2400,5
2401,5
2402,5
2403,5
2404,6
2405,5
2406,6
2407,5
2408,6
2409,6
2410,6
2411,5
2412,6
2413,6
2414,6
2415,6
2416,5
2417,5
2418,5
2419,6
2420,6
2421,6
2422,5
2423,5
2424,5
2425,5
2426,6
2427,5
2428,5
2429,6
2430,5
2431,6
2432,6
2433,5
2434,5
2435,5
2436,5
2437,5
2438,6
2439,6
2440,5
2441,6
2442,5
2443,5
2444,5
2445,5
2446,5
2447,6
2448,5
2449,5
2450,5
2451,5
2452,6
2453,5
2454,5
2455,5
2456,5
2457,6
2458,6
2459,5
2460,5
2461,5
2462,6
2463,5
2464,4
2465,6
2466,5
2467,6
2468,5
2469,6
2470,5
2471,6
2472,5
2473,5
2474,5
2475,5
2476,5
2477,5
2478,5
2479,5
2480,5
2481,6
2482,5
2483,5
2484,5
2485,6
2486,5
2487,5
2488,6
2489,5
2490,5
2491,5
2492,5
2493,5
2494,6
2495,5
2496,5
2497,6
2498,6
2499,6
2500,5
2501,5
2502,5
2503,6
2504,5
2505,5
2506,5
2507,6
2508,5
2509,5
2510,5
2511,5
2512,5
2513,5
2514,6
2515,6
2516,6
2517,5
2518,5
2519,6
2520,6
2521,6
2522,5
2523,5
2524,5
2525,5
2526,6
2527,6
2528,6
2529,5
2530,5
2531,5
2532,5
2533,6
2534,5
2535,5
2536,5
2537,5
2538,6
2539,5
2540,5
2541,5
2542,5
2543,5
2544,5
2545,5
2546,5
2547,6
2548,5
2549,5
2550,6
2551,5
2552,5
2553,5
2554,5
2555,6
2556,5
2557,5
2558,6
2559,5
2560,6
2561,5
2562,5
2563,6
2564,5
2565,5
2566,5
2567,6
2568,5
2569,5
2570,5
2571,6
2572,5
2573,6
2574,6
2575,5
2576,5
2577,4
2578,5
2579,5
2580,5
2581,5
2582,6
2583,6
2584,5
2585,5
2586,5
2587,5
2588,5
2589,5
2590,5
2591,6
2592,6
2593,6
2594,6
2595,5
2596,6
2597,6
2598,5
2599,5
2600,5
2601,5
2602,5
2603,6
2604,5
2605,5
2606,5
2607,5
2608,5
2609,5
2610,5
2611,5
2612,5
2613,5
2614,5
2615,5
2616,7
2617,5
2618,5
2619,6
2620,5
2621,6
2622,5
2623,5
2624,5
2625,5
2626,5
2627,6
2628,5
2629,6
2630,5
2631,6
2632,5
2633,5
2634,5
2635,6
2636,5
2637,5
2638,5
2639,6
2640,4
2641,5
2642,5
2643,5
2644,5
2645,5
2646,5
2647,6
2648,5
2649,6
2650,5
2651,5
2652,5
2653,5
2654,6
2655,5
2656,5
2657,6
2658,5
2659,5
2660,5
2661,5
2662,6
2663,5
2664,6
2665,6
2666,6
2667,5
2668,5
2669,5
2670,5
2671,6
2672,5
2673,6
2674,5
2675,6
2676,5
2677,6
2678,5
2679,5
2680,5
2681,5
2682,5
2683,5
2684,5
2685,5
2686,5
2687,5
2688,5
2689,5
2690,5
2691,5
2692,5
2693,5
2694,5
2695,5
2696,5
2697,5
2698,5
2699,5
2700,5
2701,5
2702,5
2703,5
2704,5
2705,5
2706,5
2707,6
2708,5
2709,5
2710,6
2711,5
2712,5
2713,5
2714,6
2715,6
2716,6
2717,5
2718,5
2719,6
2720,5
2721,5
2722,6
2723,5
2724,6
2725,6
2726,5
2727,6
2728,6
2729,5
2730,6
2731,6
2732,6
2733,5
2734,5
2735,5
2736,6
2737,5
2738,6
2739,6
2740,5
2741,5
2742,5
2743,5
2744,5
2745,5
2746,6
2747,5
2748,5
2749,6
2750,5
2751,5
2752,6
2753,6
2754,5
2755,6
2756,6
2757,5
2758,5
2759,6
2760,5
2761,5
2762,5
2763,5
2764,5
2765,6
2766,6
2767,5
2768,5
2769,5
2770,5
2771,5
2772,5
2773,5
2774,5
2775,5
2776,5
2777,5
2778,5
2779,5
2780,5
2781,5
2782,6
2783,5
2784,5
2785,5
2786,6
2787,5
2788,5
2789,5
2790,5
2791,6
2792,5
2793,6
2794,5
2795,5
2796,6
2797,5
2798,6
2799,6
2800,5
2801,5
2802,5
2803,5
2804,5
2805,5
2806,5
2807,5
2808,6
2809,6
2810,6
2811,5
2812,6
2813,6
2814,5
2815,5
2816,6
2817,5
2818,5
2819,5
2820,6
2821,5
2822,5
2823,5
2824,5
2825,5
2826,5
2827,6
2828,5
2829,5
2830,6
2831,5
2832,5
2833,6
2834,6
2835,5
2836,5
2837,5
2838,5
2839,6
2840,6
2841,6
2842,6
2843,5
2844,6
2845,5
2846,5
2847,6
2848,6
2849,6
2850,6
2851,5
2852,5
2853,5
2854,5
2855,5
2856,6
2857,5
2858,6
2859,5
2860,6
2861,5
2862,5
2863,5
2864,5
2865,5
2866,5
2867,5
2868,5
2869,5
2870,5
2871,6
2872,5
2873,5
2874,5
2875,5
2876,6
2877,6
2878,6
2879,5
2880,6
2881,5
2882,4
2883,5
2884,6
2885,6
2886,6
2887,5
2888,5
2889,6
2890,5
2891,5
2892,6
2893,5
2894,6
2895,6
2896,6
2897,5
2898,6
2899,5
2900,6
2901,5
2902,5
2903,5
2904,5
2905,5
2906,5
2907,5
2908,6
2909,6
2910,6
2911,7
2912,5
2913,6
2914,5
2915,5
2916,6
2917,6
2918,5
2919,5
2920,5
2921,4
2922,5
2923,5
2924,5
2925,6
2926,5
2927,5
2928,5
2929,5
2930,6
2931,5
2932,5
2933,6
2934,5
2935,5
2936,6
2937,5
2938,5
2939,5
2940,5
2941,6
2942,6
2943,5
2944,5
2945,5
2946,5
2947,5
2948,6
2949,6
2950,5
2951,6
2952,5
2953,5
2954,6
2955,6
2956,6
2957,6
2958,5
2959,5
2960,6
2961,6
2962,5
2963,5
2964,5
2965,6
2966,6
2967,5
2968,5
2969,5
2970,5
2971,5
2972,5
2973,6
2974,6
2975,5
2976,5
2977,5
2978,5
2979,6
2980,5
2981,6
2982,5
2983,6
2984,5
2985,5
2986,5
2987,6
2988,5
2989,5
2990,5
2991,6
2992,5
2993,5
2994,6
2995,6
2996,5
2997,5
2998,5
2999,5
3000,6
3001,6
3002,5
3003,5
3004,6
3005,5
3006,6
3007,5
3008,6
3009,6
3010,5
3011,6
3012,5
3013,6
3014,6
3015,6
3016,5
3017,5
3018,5
3019,5
3020,5
3021,6
3022,6
3023,5
3024,5
3025,5
3026,5
3027,5
3028,5
3029,6
3030,5
3031,5
3032,5
3033,6
3034,6
3035,5
3036,6
3037,6
3038,5
3039,6
3040,6
3041,5
3042,6
3043,5
3044,5
3045,5
3046,5
3047,5
3048,6
3049,5
3050,6
3051,6
3052,5
3053,5
3054,5
3055,5
3056,5
3057,5
3058,6
3059,5
3060,5
3061,6
3062,6
3063,5
3064,6
3065,6
3066,5
3067,5
3068,5
3069,6
3070,5
3071,5
3072,6
3073,6
3074,5
3075,6
3076,6
3077,6
3078,6
3079,6
3080,5
3081,6
3082,5
3083,5
3084,5
3085,5
3086,6
3087,5
3088,6
3089,5
3090,5
3091,6
3092,5
3093,6
3094,5
3095,5
3096,5
3097,5
3098,5
3099,6
3100,5
3101,5
3102,5
3103,5
3104,5
3105,5
3106,5
3107,6
3108,5
3109,6
3110,5
3111,5
3112,6
3113,6
3114,6
3115,6
3116,5
3117,6
3118,5
3119,6
3120,6
3121,5
3122,5
3123,5
3124,5
3125,5
3126,6
3127,5
3128,5
3129,6
3130,5
3131,6
3132,5
3133,5
3134,5
3135,5
3136,5
3137,6
3138,5
3139,6
3140,6
3141,5
3142,5
3143,6
3144,5
3145,5
3146,5
3147,5
3148,5
3149,6
3150,5
3151,6
3152,5
3153,5
3154,5
3155,6
3156,5
3157,5
3158,5
3159,5
3160,5
3161,5
3162,5
3163,5
3164,5
3165,5
3166,6
3167,6
3168,5
3169,5
3170,5
3171,5
3172,5
3173,5
3174,5
3175,6
3176,5
3177,5
3178,6
3179,6
3180,5
3181,6
3182,5
3183,5
3184,5
3185,6
3186,5
3187,6
3188,5
3189,5
3190,5
3191,5
3192,6
3193,5
3194,5
3195,5
3196,6
3197,5
3198,5
3199,6
3200,5
3201,5
3202,5
3203,6
3204,5
3205,5
3206,6
3207,6
3208,5
3209,6
3210,6
3211,5
3212,5
3213,5
3214,6
3215,6
3216,6
3217,6
3218,5
3219,5
3220,5
3221,6
3222,6
3223,6
3224,5
3225,5
3226,5
3227,6
3228,6
3229,6
3230,6
3231,4
3232,5
3233,6
3234,5
3235,5
3236,6
3237,5
3238,5
3239,5
3240,5
3241,5
3242,5
3243,5
3244,6
3245,6
3246,6
3247,5
3248,6
3249,5
3250,5
3251,5
3252,4
3253,5
3254,6
3255,6
3256,6
3257,5
3258,5
3259,5
3260,5
3261,5
3262,5
3263,6
3264,5
3265,4
3266,6
3267,5
3268,5
3269,6
3270,6
3271,5
3272,6
3273,5
3274,5
3275,6
3276,5
3277,6
3278,6
3279,6
3280,6
3281,5
3282,6
3283,6
3284,6
3285,6
3286,6
3287,5
3288,5
3289,5
3290,6
3291,6
3292,5
3293,6
3294,5
3295,6
3296,5
3297,6
3298,5
3299,5
3300,5
3301,5
3302,5
3303,5
3304,5
3305,5
3306,6
3307,6
3308,5
3309,6
3310,6
3311,5
3312,6
3313,5
3314,5
3315,5
3316,5
3317,6
3318,6
3319,5
3320,5
3321,6
3322,6
3323,5
3324,5
3325,5
3326,6
3327,5
3328,5
3329,6
3330,5
3331,5
3332,6
3333,5
3334,6
3335,6
3336,5
3337,5
3338,5
3339,5
3340,5
3341,5
3342,5
3343,5
3344,5
3345,5
3346,5
3347,6
3348,5
3349,5
3350,6
3351,5
3352,5
3353,6
3354,5
3355,5
3356,6
3357,6
3358,5
3359,6
3360,6
3361,5
3362,5
3363,6
3364,6
3365,5
3366,5
3367,5
3368,6
3369,5
3370,6
3371,6
3372,5
3373,5
3374,5
3375,5
3376,6
3377,5
3378,5
3379,7
3380,5
3381,5
3382,5
3383,5
3384,5
3385,5
3386,5
3387,5
3388,5
3389,6
3390,6
3391,5
3392,5
3393,6
3394,5
3395,6
3396,5
3397,5
3398,6
3399,5
3400,5
3401,5
3402,6
3403,6
3404,5
3405,5
3406,6
3407,5
3408,5
3409,5
3410,5
3411,5
3412,5
3413,5
3414,5
3415,6
3416,6
3417,6
3418,6
3419,5
3420,5
3421,6
3422,6
3423,5
3424,6
3425,5
3426,5
3427,5
